team1,team2
Shota Omoto,Syahzlan Hazwan Salleh
Yusuke Onodera,Thuan Kim
Li Yang Su,Chacharit Yaowanit
Pang Fong Pui,Teerapat Kleawan
Thu Thao Nguyen,Praranat Praputtham
Hai Dang Nguyen,Tien Tuan Nguyen
Phakorn Chotphinit,Jun Yan Ng
Jun Yan Ng,Hai Dang Nguyen
Chien-Wei Chiang,Miha Ivanič
Md Tah M Ziyad,Mochamad Ryan Bintang Pradana
Guang Zu Lu,Muhammad Hafid Hendarto
Chia Hsuan Lin,Ferneel Hazael Sompie
Kar Lung Chun,Muh. Asqar Harianto
Ze Qi Zhou,Muh. Azahbru B Kasra
Jun Peng Zhao,Datu Mohd Shah Eizlan Sardik
Muhammad Farhan Ananto,Moch Fairuzzani Wahbatul Bida
M. Enrico Giralda Harsari,Galih Prasetyo Utomo
Aaron Sangga Wijaya,Diviana Arya Ramanda Putra
Muhammad Syafiq Iqbal Mohd Nadzri,Dimas Setiawan
Classius Chris Belandro,Aldo Oktaviano Purnomo
Novian Harya Pratama,Wisnu Yuli Prasetyo
Gabriel Evan Santoso,Kar Lung Chun
Wisnu Yuli Prasetyo,Ade Resky Dwicahyo
Muhammad Akhdan Widjanarko,Jovi Mikhael
Jovi Mikhael,Azmy Qowimuramadhoni
Datu Mohd Shah Eizlan Sardik,Kiran George
Jia Wei Joel Koh,Soren Opti
Handoko Yusuf Wijayanto,Jeppe Bruun
Aram Mahmoud,B.M.Rahul Bharadwaj
B.M.Rahul Bharadwaj,Osleni Guerrero
Joran Kweekel,Aidil Sholeh Ali Sadikin
Jacob Nilsson,Jonas Scheller
Leo Rossi,Brian Holtschke
Robert Mann,Christopher Klauer
Binghong Ye,Mattias Sonderskov
Yu Qi Shi,Jakob Godt
Innocenzo Santoro,Artyom Savatyugin
Felix Kruchten,Rowan Scheurkogel
Tobias Mund,Ansal Yadav
David Kim,Ching-Sheng Chang
Felix Hammes,Oriol Altimira
Jonas Scheller,Martin Bundgaard
Ansgar Kirste,Ditlev Jaeger Holm
Christopher Klauer,Jonathan Dolan
Lukas Resch,Mads Christophersen
Brian Holtschke,Tobias Kuenzi
Raghu Mariswamy,Magnus Johannesen
Alap Mishra,Erik Jr Timmerman
Ivan Valenzuela,Cesar Adonis Brito Gonzalez
Sergi Alcala,David Kim
Jofre Comella,Louis Ducrot
Oriol Altimira,Driss Bourroum
Leon Seiwald,Thomas Fourcade
Mads Christophersen,Harry Huang
Amaury Lievre,Yanis Gaudin
Harry Huang,Philip Illum Klindt
